Desvío estandar (100 rep)
Tamaño de máscara	Media	Desvío	%Des
6	0.03445709200000073	0.0009345315458767452	2.7 %
16	0.03400238199999974	0.0008996255174192824	2.6 %
26	0.03368562499999997	0.0005704906462422691	1.7 %
36	0.04626732300000001	0.0007307281275097601	1.6 %
46	0.04647742300000038	0.002026035918736506	4.4 %
56	0.04110147700000028	0.002165424137653094	5.3 %
66	0.05951542799999921	0.001369341542720127	2.3 %
76	0.05760093100000018	0.0012264172424026796	2.1 %
86	0.03570654999999997	0.0010322982634630715	2.9 %
96	0.03545023399999963	0.0008420543068000322	2.4 %
106	0.035265792000000164	0.001033493884759642	2.9 %
116	0.03492708399999964	0.0008654336112598579	2.5 %
126	0.03492265300000058	0.0013469372651507174	3.9 %
